Time (s)	Load (N)	Displacement (mm)
22,436	-19	-3,195
22,46	-18,5	-3,074
22,484	-18	-2,943
22,508	-17	-2,833
22,532	-16	-2,713
22,556	-14,5	-2,593
22,58	-14	-2,473
22,604	-13	-2,353
22,628	-12	-2,233
22,652	-11	-2,113
22,676	-10	-1,993
22,7	-9,5	-1,873
22,724	-8,5	-1,753
22,748	-8	-1,633
22,772	-7	-1,513
22,796	-6	-1,393
22,82	-5,5	-1,273
22,844	-5	-1,153
22,868	-4,5	-1,033
22,892	-3,5	-0,913
22,916	-3	-0,793
22,94	-2	-0,673
22,964	-2	-0,553
22,988	-1,5	-0,438
23,012	-0,5	-0,313
23,036	-0,5	-0,214
23,06	0	-0,147
23,084	0	-0,101
23,108	0,5	-0,07
23,132	1	-0,048
23,156	1	-0,034
23,18	1	-0,022
23,204	1	-0,016
23,228	1	-0,011
23,252	1	-0,008
23,276	1	-0,005
23,3	1	-0,003
23,324	1	-0,002
23,348	1,5	-0,001
23,372	1,5	-0,001
23,396	1,5	0
23,42	1,5	-0,018
23,444	1,5	-0,153
23,468	1	-0,278
23,492	0	-0,4
23,516	0	-0,52
23,54	-0,5	-0,64
23,564	-1	-0,76
23,588	-1,5	-0,88
23,612	-3	-1
23,636	-3,5	-1,12
23,66	-4	-1,235
23,684	-4,5	-1,36
23,708	-4,5	-1,48
23,732	-5,5	-1,6
23,756	-6	-1,72
23,78	-6,5	-1,84
23,804	-7	-1,96
23,828	-7,5	-2,08
23,852	-9	-2,2
23,876	-9,5	-2,32
23,9	-10	-2,44
23,924	-10,5	-2,56
23,948	-11,5	-2,68
23,972	-13	-2,8
23,996	-13,5	-2,92
24,02	-14	-3,04
24,044	-15	-3,16
24,068	-15	-3,268
24,092	-17	-3,34
24,116	-17,5	-3,39
24,14	-18	-3,424
24,164	-18,5	-3,448
24,188	-19	-3,464
24,212	-19,5	-3,475
24,236	-19	-3,483
24,26	-19,5	-3,489
24,284	-19,5	-3,492
24,308	-19,5	-3,494
24,332	-19,5	-3,496
24,356	-19,5	-3,497
24,38	-19,5	-3,498
24,404	-19,5	-3,499
24,428	-19,5	-3,499
24,452	-19,5	-3,499
24,476	-19,5	-3,499
24,5	-19,5	-3,495
24,524	-19,5	-3,375
24,548	-19,5	-3,248
24,572	-18,5	-3,126
24,596	-17,5	-3,005
24,62	-17,5	-2,89
24,644	-15,5	-2,765
24,668	-15	-2,645
24,692	-14	-2,525
24,716	-13	-2,405
24,74	-12,5	-2,285
24,764	-11,5	-2,165
24,788	-10,5	-2,045
24,812	-9,5	-1,925
24,836	-9	-1,805
24,86	-8	-1,685
24,884	-7,5	-1,565
24,908	-6,5	-1,445
24,932	-5,5	-1,325
24,956	-5	-1,205
24,98	-4,5	-1,085
